tab 	specimens
aniso_s	aniso_s_mean	aniso_s_n_measurements	aniso_s_sigma	aniso_s_unit	aniso_tilt_correction	aniso_type	aniso_v1	aniso_v2	aniso_v3	citations	description	experiments	location	method_codes	sample	site	software_packages	specimen
0.3314698618:0.3341399106:0.3343902276:0.0007509512:-0.0008343902	0.0009987333	15	0.0000861755	SI	-1	AMS				This study		tr245f:AMS	locale	LP-X:AE-H:LP-AN-MS	tr245f	tr245	pmagpy-3.17.0	tr245f
0.3341268003:0.3328273296:0.3330458701:-0.0001528877:0.0012484037:0.0013572073	0.0009987333	15	0.0000861755	SI	0	AMS				This study		tr245f:AMS	locale	LP-X:AE-H:LP-AN-MS	tr245f	tr245	pmagpy-3.17.0	tr245f
0.3314698618:0.3341399106:0.3343902276:0.0007509512:-0.0008343902	0.0009987333	15	0.0000861755	SI	-1	AMS				This study		tr245f:AMS	locale	LP-X:AE-H:LP-AN-MS	tr245f	tr245	pmagpy-3.17.0	tr245f
0.3333592535:0.3333592535:0.3332814930:-0.0015552100:-0.0013219285	0.0010716667	15	0.0001719349	SI	-1	AMS				This study		tr245g:AMS	locale	LP-X:AE-H:LP-AN-MS	tr245g	tr245	pmagpy-3.17.0	tr245g
0.3355630040:0.3319826424:0.3324543238:0.0008725883:0.0002414079:0.0009616597	0.0010716667	15	0.0001719349	SI	0	AMS				This study		tr245g:AMS	locale	LP-X:AE-H:LP-AN-MS	tr245g	tr245	pmagpy-3.17.0	tr245g
0.3333592535:0.3333592535:0.3332814930:-0.0015552100:-0.0013219285	0.0010716667	15	0.0001719349	SI	-1	AMS				This study		tr245g:AMS	locale	LP-X:AE-H:LP-AN-MS	tr245g	tr245	pmagpy-3.17.0	tr245g
0.3309763394:0.3357356541:0.3332880065:0.0016317650:0.0001359804	0.0012256667	15	0.0001813072	SI	-1	AMS				This study		tr245h:AMS	locale	LP-X:AE-H:LP-AN-MS	tr245h	tr245	pmagpy-3.17.0	tr245h
0.3358490765:0.3314062655:0.3327446878:0.0013184443:0.0011881572:0.0000298656	0.0012256667	15	0.0001813072	SI	0	AMS				This study		tr245h:AMS	locale	LP-X:AE-H:LP-AN-MS	tr245h	tr245	pmagpy-3.17.0	tr245h
0.3309763394:0.3357356541:0.3332880065:0.0016317650:0.0001359804	0.0012256667	15	0.0001813072	SI	-1	AMS				This study		tr245h:AMS	locale	LP-X:AE-H:LP-AN-MS	tr245h	tr245	pmagpy-3.17.0	tr245h
0.3315002911:0.3346542020:0.3338455069:-0.0006469561:-0.0005660866	0.0010304667	15	0.0001486279	SI	-1	AMS				This study		tr245i1:AMS	locale	LP-X:AE-H:LP-AN-MS	tr245i1	tr245i	pmagpy-3.17.0	tr245i1
0.3347975314:0.3314253092:0.3337771893:-0.0004749286:0.0004954052:0.0004430301	0.0010304667	15	0.0001486279	SI	0	AMS				This study		tr245i1:AMS	locale	LP-X:AE-H:LP-AN-MS	tr245i1	tr245i	pmagpy-3.17.0	tr245i1
0.3315002911:0.3346542020:0.3338455069:-0.0006469561:-0.0005660866	0.0010304667	15	0.0001486279	SI	-1	AMS				This study		tr245i1:AMS	locale	LP-X:AE-H:LP-AN-MS	tr245i1	tr245i	pmagpy-3.17.0	tr245i1
0.3312198635:0.3352119732:0.3335681633:-0.0004696600:-0.0004696600	0.0010646000	15	0.0001837604	SI	-1	AMS				This study		tr245i2:AMS	locale	LP-X:AE-H:LP-AN-MS	tr245i2	tr245i	pmagpy-3.17.0	tr245i2
0.3350561261:0.3311484456:0.3337953985:-0.0010137487:0.0002853553:0.0003485158	0.0010646000	15	0.0001837604	SI	0	AMS				This study		tr245i2:AMS	locale	LP-X:AE-H:LP-AN-MS	tr245i2	tr245i	pmagpy-3.17.0	tr245i2
