tab 	er_specimens
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	specimen_volume
	This study		nw002a1	nw002a1	nw002a1	nw002a1:LP-AN-MS	SIO-KLY4S	1.000e-05
	This study		nw002a2	nw002a2	nw002a2	nw002a2:LP-AN-MS	SIO-KLY4S	1.000e-05
	This study		nw002a3	nw002a3	nw002a3	nw002a3:LP-AN-MS	SIO-KLY4S	1.000e-05
	This study		nw002a4	nw002a4	nw002a4	nw002a4:LP-AN-MS	SIO-KLY4S	1.000e-05
	This study		nw003a1	nw003a1	nw003a1	nw003a1:LP-AN-MS	SIO-KLY4S	1.000e-05
	This study		nw003a2	nw003a2	nw003a2	nw003a2:LP-AN-MS	SIO-KLY4S	1.000e-05
	This study		nw003a3	nw003a3	nw003a3	nw003a3:LP-AN-MS	SIO-KLY4S	1.000e-05
	This study		nw003a4	nw003a4	nw003a4	nw003a4:LP-AN-MS	SIO-KLY4S	1.000e-05
	This study		nw003a5	nw003a5	nw003a5	nw003a5:LP-AN-MS	SIO-KLY4S	1.000e-05
	This study		nw004a1	nw004a1	nw004a1	nw004a1:LP-AN-MS	SIO-KLY4S	1.000e-05
	This study		nw004a2	nw004a2	nw004a2	nw004a2:LP-AN-MS	SIO-KLY4S	1.000e-05
	This study		nw004a3	nw004a3	nw004a3	nw004a3:LP-AN-MS	SIO-KLY4S	1.000e-05
	This study		nw004a4	nw004a4	nw004a4	nw004a4:LP-AN-MS	SIO-KLY4S	1.000e-05
	This study		nw004a5	nw004a5	nw004a5	nw004a5:LP-AN-MS	SIO-KLY4S	1.000e-05
	This study		nw005a1	nw005a1	nw005a1	nw005a1:LP-AN-MS	SIO-KLY4S	1.000e-05
	This study		nw005a2	nw005a2	nw005a2	nw005a2:LP-AN-MS	SIO-KLY4S	1.000e-05
	This study		nw005a3	nw005a3	nw005a3	nw005a3:LP-AN-MS	SIO-KLY4S	1.000e-05
	This study		nw005a4	nw005a4	nw005a4	nw005a4:LP-AN-MS	SIO-KLY4S	1.000e-05
	This study		nw006a1	nw006a1	nw006a1	nw006a1:LP-AN-MS	SIO-KLY4S	1.000e-05
	This study		nw006a2	nw006a2	nw006a2	nw006a2:LP-AN-MS	SIO-KLY4S	1.000e-05
